id_sensor | valor | tipo | timestamp
2 | 57.1 | CO2 | 2025-01-15 15:45:50
2 | 57.18 | CO2 | 2025-01-15 15:45:56
2 | 57.4 | CO2 | 2025-01-15 15:46:02
2 | 57.29 | CO2 | 2025-01-15 15:46:08
2 | 57.18 | CO2 | 2025-01-15 15:46:14
2 | 57.03 | CO2 | 2025-01-15 15:46:20
2 | 57.41 | CO2 | 2025-01-15 15:46:26
2 | 57.16 | CO2 | 2025-01-15 15:46:32
2 | 57.24 | CO2 | 2025-01-15 15:46:38
2 | 57.21 | CO2 | 2025-01-15 15:46:45
2 | 57.2 | CO2 | 2025-01-15 15:46:51
2 | 57.26 | CO2 | 2025-01-15 15:46:57
2 | 57.09 | CO2 | 2025-01-15 15:47:03
2 | 56.72 | CO2 | 2025-01-15 15:47:09
2 | 56.99 | CO2 | 2025-01-15 15:47:15
2 | 57.23 | CO2 | 2025-01-15 15:47:21
2 | 57.25 | CO2 | 2025-01-15 15:47:27
2 | 57.6 | CO2 | 2025-01-15 15:47:33
2 | 57.46 | CO2 | 2025-01-15 15:47:39
2 | 56.95 | CO2 | 2025-01-15 15:47:46
2 | 57.24 | CO2 | 2025-01-15 15:47:52
2 | 57.05 | CO2 | 2025-01-15 15:47:58
2 | 57.32 | CO2 | 2025-01-15 15:48:04
2 | 57.1 | CO2 | 2025-01-15 15:48:10
2 | 56.99 | CO2 | 2025-01-15 15:48:16
2 | 57.15 | CO2 | 2025-01-15 15:48:22
2 | 57.08 | CO2 | 2025-01-15 15:48:28
2 | 57.09 | CO2 | 2025-01-15 15:48:35
2 | 57.21 | CO2 | 2025-01-15 15:48:41
2 | 57.0 | CO2 | 2025-01-15 15:48:47
2 | 57.2 | CO2 | 2025-01-15 15:48:53
2 | 57.03 | CO2 | 2025-01-15 15:48:59
2 | 57.11 | CO2 | 2025-01-15 15:49:05
2 | 57.34 | CO2 | 2025-01-15 15:49:11
2 | 57.31 | CO2 | 2025-01-15 15:49:17
